R2 p
ENSG00000141698 0.438323982729744 4.02070215343997e-07
ENSG00000148290 0.437887726671478 4.09341861518087e-07
ENSG00000155093 0.436878755267178 4.26646047824164e-07
ENSG00000166503 0.435874755766648 4.44560135592909e-07
ENSG00000160352 0.434922270882904 4.6222034999488e-07
ENSG00000081059 0.43424230978071 4.75237214248025e-07
ENSG00000184860 0.433728105189327 4.85313641718221e-07
ENSG00000088882 0.433363044664076 4.92591468947978e-07
ENSG00000105855 0.432098182637958 5.18626096956964e-07
ENSG00000103187 0.431219268813881 5.37488537677433e-07
ENSG00000008517 0.431207407072395 5.37747548712275e-07
ENSG00000166002 0.431126788986517 5.39511086916633e-07
ENSG00000177303 0.429963294774864 5.65588883283397e-07
ENSG00000069011 0.429097149917664 5.85782720996519e-07
ENSG00000178078 0.427711061269791 6.19545153179857e-07
ENSG00000106003 0.425510519910766 6.77010694616342e-07
ENSG00000160284 0.425001651719288 6.91009458542169e-07
ENSG00000127920 0.423763823398846 7.26230458436561e-07
ENSG00000198216 0.423300271255212 7.39858418974393e-07
ENSG00000103811 0.422864399035921 7.5289617607055e-07
ENSG00000053747 0.421389419226509 7.98670513280086e-07
ENSG00000158089 0.421268819090671 8.02529037446931e-07
ENSG00000172059 0.421245206931768 8.03286584361018e-07
ENSG00000157613 0.4199164801086 8.47039388407467e-07
ENSG00000077935 0.419689981646708 8.54722135290586e-07
ENSG00000120162 0.419207691791102 8.71304598248912e-07
ENSG00000110665 0.418516753045943 8.95599806538527e-07
ENSG00000083290 0.417661324543609 9.26580214111183e-07
ENSG00000136193 0.417297361671295 9.40071094746031e-07
ENSG00000169896 0.41698639443225 9.51746723654168e-07
ENSG00000171621 0.416854700591645 9.56733149592992e-07
ENSG00000203883 0.416735215222417 9.61278997957393e-07
ENSG00000137078 0.416050129706942 9.87745992331313e-07
ENSG00000196867 0.415740950312269 9.99918240873754e-07
ENSG00000160593 0.41525926653024 1.01916915618006e-06
ENSG00000065154 0.414951670941308 1.03164800657751e-06
ENSG00000137225 0.414946114799815 1.03187475608557e-06
ENSG00000166796 0.414927689175212 1.03262705963836e-06
ENSG00000142765 0.41464491296784 1.04423881386317e-06
ENSG00000130340 0.414002391987403 1.0710905118394e-06
ENSG00000187837 0.413607229954679 1.08793250452877e-06
ENSG00000124203 0.413473337413592 1.09369648759738e-06
ENSG00000198933 0.413094031514473 1.11018488224701e-06
ENSG00000139998 0.412817027298829 1.12237665761405e-06
ENSG00000149564 0.41243941168172 1.13920374555931e-06
ENSG00000186716 0.411926933902778 1.1624280915612e-06
ENSG00000168917 0.411713995819614 1.17221098538955e-06
ENSG00000167642 0.411500334208919 1.18210650290607e-06
ENSG00000067836 0.410504847708019 1.22927793788641e-06
ENSG00000198951 0.409301199676903 1.28872785065681e-06
ENSG00000198722 0.408285736179386 1.34101978455092e-06
ENSG00000108091 0.408270333859869 1.34182840039188e-06
ENSG00000140479 0.407946504290903 1.35893806740839e-06
ENSG00000095303 0.407734795534041 1.37023675872427e-06
ENSG00000072832 0.40765370503336 1.37458831406256e-06
ENSG00000133574 0.407579052719585 1.37860609994434e-06
ENSG00000161642 0.406167767944528 1.45671603357655e-06
ENSG00000196781 0.405359201411475 1.50336313242683e-06
ENSG00000035403 0.404602846954167 1.54829331799888e-06
ENSG00000140403 0.404235923018266 1.57055146443597e-06
ENSG00000163155 0.403852586264891 1.59413313416401e-06
ENSG00000152270 0.40385026969655 1.59427666979184e-06
ENSG00000104341 0.40380059724564 1.59735738591849e-06
ENSG00000123610 0.403563944347131 1.61211336813238e-06
ENSG00000173040 0.403068054261573 1.6434589871217e-06
ENSG00000115884 0.402113650167647 1.70544178734744e-06
ENSG00000214941 0.401730488380716 1.73095180544536e-06
ENSG00000129055 0.401384756250464 1.75428384752152e-06
ENSG00000112576 0.401209088678361 1.76625429126887e-06
ENSG00000203727 0.400882114312717 1.78874426604025e-06
ENSG00000145287 0.400557184814313 1.81136574184393e-06
ENSG00000141756 0.400390056291441 1.82310786023265e-06
ENSG00000125648 0.400023144536711 1.84914316436746e-06
ENSG00000041880 0.399631305565609 1.87734121848138e-06
ENSG00000171603 0.398678077285227 1.94767260852657e-06
ENSG00000181240 0.397600689955752 2.03020948097432e-06
ENSG00000164930 0.396976840834763 2.07952562103486e-06
ENSG00000090857 0.396781548225418 2.09519868810126e-06
ENSG00000072840 0.396620259580139 2.10822822843681e-06
ENSG00000197119 0.396054844136803 2.15452181473452e-06
ENSG00000172006 0.395596711823031 2.1927456910209e-06
ENSG00000027869 0.394507378238344 2.28626530041076e-06
ENSG00000135083 0.394443297833665 2.29188423084281e-06
ENSG00000182319 0.393325124578126 2.39209242081095e-06
ENSG00000165171 0.392421509340413 2.47613231807442e-06
ENSG00000106853 0.391390942828565 2.57543944681693e-06
ENSG00000164237 0.390123400459322 2.70283205283661e-06
ENSG00000111328 0.389895172030173 2.72640351672848e-06
ENSG00000158321 0.389388082035094 2.77948433202724e-06
ENSG00000149328 0.388993361851116 2.82148792196679e-06
ENSG00000171747 0.388547448405307 2.86967231288848e-06
ENSG00000003147 0.388149662525725 2.91332209290118e-06
ENSG00000108405 0.388067813402336 2.92238229038233e-06
ENSG00000116157 0.387737256532574 2.95924893856103e-06
ENSG00000182534 0.387704946715686 2.96287627943315e-06
ENSG00000128805 0.386735587956007 3.07371086516461e-06
ENSG00000171680 0.386590239218946 3.09066917703049e-06
ENSG00000078043 0.386559162335823 3.09430665801358e-06
ENSG00000177732 0.386548324455747 3.09557617450551e-06
ENSG00000100599 0.385827830314594 3.18110373065394e-06
ENSG00000080007 0.385719599609023 3.19414586780198e-06
ENSG00000148053 0.3856864151774 3.19815496885312e-06
ENSG00000105499 0.38548610306062 3.22245802641952e-06
ENSG00000131037 0.385011929120863 3.28069641097883e-06
ENSG00000081923 0.384380343656117 3.35983957144848e-06
ENSG00000145088 0.384148131400274 3.38939615929235e-06
ENSG00000176381 0.383950169264925 3.41479030763203e-06
ENSG00000179909 0.383480805169914 3.47573149972469e-06
ENSG00000154153 0.383231331135009 3.5085463405693e-06
ENSG00000186281 0.382944869499108 3.54659334300678e-06
ENSG00000064886 0.38266190066918 3.58456524196527e-06
ENSG00000125618 0.382566707450709 3.59742685662745e-06
ENSG00000155465 0.381424075734205 3.7553087648412e-06
ENSG00000129282 0.381256112776739 3.77907054982529e-06
ENSG00000197701 0.380364069981845 3.90770769098658e-06
ENSG00000070915 0.380340342252661 3.91118611497987e-06
ENSG00000142675 0.378926687041074 4.12387703185857e-06
ENSG00000178878 0.378800441870575 4.1434023492215e-06
ENSG00000127507 0.378790461473469 4.14494971767709e-06
ENSG00000171236 0.37791105053809 4.28349506864656e-06
ENSG00000183439 0.377822757866771 4.2976481251511e-06
ENSG00000172817 0.377743720219147 4.31035571679672e-06
ENSG00000182013 0.377627731814497 4.32906957170687e-06
ENSG00000111728 0.377251101119687 4.39037569677225e-06
ENSG00000185565 0.376670183512229 4.48657251350681e-06
ENSG00000138172 0.376655457387459 4.48903719618698e-06
ENSG00000100678 0.376323932424238 4.5448693111183e-06
ENSG00000154556 0.37477002713112 4.81557343512407e-06
ENSG00000119139 0.374613485540581 4.84368734854357e-06
ENSG00000142192 0.374504028993404 4.86343865824246e-06
ENSG00000146707 0.374006099819974 4.95427002977777e-06
ENSG00000049247 0.373362008300667 5.07418345785382e-06
ENSG00000142794 0.37286607014252 5.1684092117199e-06
ENSG00000064393 0.372731997213546 5.19416959576802e-06
ENSG00000213231 0.372468019458358 5.24525044909296e-06
ENSG00000213160 0.372192767300123 5.2990267058739e-06
ENSG00000157326 0.371845568556979 5.36761488145743e-06
ENSG00000149212 0.371700483962079 5.39652787501232e-06
ENSG00000123159 0.371638043501299 5.40901723500298e-06
ENSG00000158716 0.371143147023465 5.50899348894518e-06
ENSG00000177721 0.370952393238567 5.54800048790938e-06
ENSG00000169169 0.370709001265611 5.59815676304254e-06
ENSG00000136153 0.370564033454051 5.62823724781225e-06
ENSG00000213366 0.370391346407783 5.66427206849518e-06
ENSG00000178386 0.370347195619309 5.67352058311599e-06
ENSG00000162614 0.369216500771829 5.9153776841292e-06
